Category: All categories

Region,Fast food: (2015)
Arizona,100
Nevada,97
Texas,93
Missouri,92
California,89
Georgia,89
Nebraska,89
Oklahoma,83
Colorado,83
Utah,81
Tennessee,79
Illinois,77
Idaho,77
Alabama,76
Michigan,76
North Carolina,76
Arkansas,76
South Carolina,75
North Dakota,74
Mississippi,73
Washington,71
Louisiana,71
South Dakota,70
New Mexico,69
District of Columbia,69
Kentucky,68
Hawaii,67
Ohio,67
Florida,66
Wyoming,66
Indiana,65
Kansas,64
Minnesota,64
Iowa,63
Wisconsin,62
Montana,60
New York,58
West Virginia,58
Pennsylvania,50
Delaware,49
Maryland,49
Oregon,46
Virginia,45
New Jersey,44
Connecticut,42
Alaska,41
Rhode Island,40
Massachusetts,40
New Hampshire,33
Maine,30
Vermont,30
