Category: All categories

Region,Diet: (2005)
West Virginia,100
Mississippi,96
Arkansas,95
South Dakota,83
Wyoming,83
Kentucky,83
North Carolina,82
Alabama,81
Tennessee,81
North Dakota,81
Florida,80
Louisiana,78
Texas,77
Georgia,76
Idaho,76
South Carolina,76
Oklahoma,76
Missouri,75
Nebraska,75
Michigan,75
Iowa,74
New Mexico,73
Arizona,73
Ohio,73
Alaska,73
Montana,73
Maine,72
Pennsylvania,72
Delaware,71
Kansas,71
Maryland,70
Nevada,69
Vermont,68
Virginia,68
New Hampshire,68
Utah,68
Washington,67
Illinois,67
Rhode Island,67
New Jersey,67
Indiana,66
New York,66
Minnesota,65
Wisconsin,63
California,62
Oregon,62
Hawaii,62
Massachusetts,62
Colorado,59
District of Columbia,58
Connecticut,57
