Category: All categories

Region,Diet: (2006)
Mississippi,100
West Virginia,95
Tennessee,94
Arkansas,89
Alabama,81
Georgia,80
Florida,78
North Carolina,77
Texas,77
Alaska,76
Wyoming,76
Nebraska,76
Louisiana,76
Missouri,75
Virginia,75
South Dakota,74
Maine,74
Pennsylvania,73
Arizona,73
Idaho,73
Montana,73
North Dakota,73
New Mexico,72
Kentucky,72
Michigan,72
Illinois,71
Ohio,71
Delaware,71
Indiana,71
Wisconsin,70
South Carolina,70
Kansas,69
Rhode Island,69
Oregon,69
Oklahoma,69
New York,67
Minnesota,67
Colorado,67
Connecticut,66
Vermont,66
New Hampshire,66
New Jersey,66
Maryland,65
Iowa,65
Nevada,65
Massachusetts,65
Washington,64
Hawaii,63
California,62
District of Columbia,62
Utah,60
