Category: All categories

Region,Diet: (2016)
Mississippi,100
West Virginia,95
Alabama,94
Tennessee,92
Oklahoma,90
New Hampshire,89
Arkansas,89
Kentucky,88
Oregon,87
Louisiana,87
Maryland,86
New Mexico,86
Connecticut,86
Arizona,86
Idaho,86
Maine,85
Washington,85
Virginia,85
Georgia,85
New Jersey,84
Indiana,83
North Carolina,82
Missouri,82
Montana,82
Florida,82
Alaska,82
Nebraska,82
Wisconsin,82
Iowa,81
Rhode Island,81
Ohio,81
Colorado,80
Illinois,80
Utah,80
Kansas,79
Pennsylvania,79
Vermont,79
Nevada,79
Texas,79
Delaware,79
New York,78
California,78
South Carolina,78
Massachusetts,77
North Dakota,77
Minnesota,77
Hawaii,77
District of Columbia,76
Wyoming,75
South Dakota,75
Michigan,70
