Category: All categories

Region,Diet: (2012)
Arkansas,100
Alaska,94
Kentucky,93
West Virginia,90
Mississippi,89
Oklahoma,87
Nevada,87
Tennessee,86
Alabama,86
Arizona,86
Idaho,84
Wyoming,84
Louisiana,84
Oregon,83
South Carolina,82
Washington,81
Florida,81
Utah,81
Nebraska,81
Missouri,81
Montana,81
Kansas,80
Connecticut,79
Indiana,79
Texas,79
Colorado,79
New Mexico,77
California,77
Iowa,77
Maine,77
Georgia,77
Virginia,76
New Hampshire,76
New Jersey,76
Hawaii,76
Michigan,76
South Dakota,76
Rhode Island,75
Ohio,74
North Carolina,73
North Dakota,73
Illinois,73
Maryland,72
Wisconsin,72
Massachusetts,72
Pennsylvania,71
Delaware,70
Minnesota,69
District of Columbia,69
New York,67
Vermont,66
